0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Name:,Marcel,Family name:,Kittel,Nationality:,Germany ,Gender:, ,Age:,31  years,,,,
,Name:,Vincenzo,Family name:,Nibali,Nationality:,Italy ,Gender:, ,Age:,34  years,,,,
,Name:,Marcel,Family name:,Kittel,Nationality:,Germany ,Gender:, ,Age:,31  years,,,,
,Name:,Marcel,Family name:,Kittel,Nationality:,Germany ,Gender:, ,Age:,31  years,,,,
,Name:,Lars,Family name:,Boom,Nationality:,The Netherlands ,Gender:, ,Age:,33  years,,,,
,Name:,André,Family name:,Greipel,Nationality:,Germany ,Gender:, ,Age:,37  years,,,,
,Name:,Matteo,Family name:,Trentin,Nationality:,Italy ,Gender:, ,Age:,30  years,,,,
,Name:,Blel,Family name:,Kadri,Nationality:,France ,Gender:, ,Age:,32  years,,,,
,Name:,Tony,Family name:,Martin,Nationality:,Germany ,Gender:, ,Age:,34  years,,,,
,Name:,Vincenzo,Family name:,Nibali,Nationality:,Italy ,Gender:, ,Age:,34  years,,,,
,Name:,Tony,Family name:,Gallopin,Nationality:,France ,Gender:, ,Age:,31  years,,,,
,Name:,Alexander,Family name:,Kristoff,Nationality:,Norway ,Gender:, ,Age:,32  years,,,,
,Name:,Vincenzo,Family name:,Nibali,Nationality:,Italy ,Gender:, ,Age:,34  years,,,,
,Name:,Rafal,Family name:,Majka,Nationality:,Poland ,Gender:, ,Age:,29  years,,,,
,Name:,Alexander,Family name:,Kristoff,Nationality:,Norway ,Gender:, ,Age:,32  years,,,,
,Name:,Michael,Family name:,Rogers,Nationality:,Australia ,Gender:, ,Age:,39  years,,,,
,Name:,Rafal,Family name:,Majka,Nationality:,Poland ,Gender:, ,Age:,29  years,,,,
,Name:,Vincenzo,Family name:,Nibali,Nationality:,Italy ,Gender:, ,Age:,34  years,,,,
,Name:,Ramunas,Family name:,Navardauskas,Nationality:,Lithuania ,Gender:, ,Age:,31  years,,,,
,Name:,Tony,Family name:,Martin,Nationality:,Germany ,Gender:, ,Age:,34  years,,,,
,Name:,Marcel,Family name:,Kittel,Nationality:,Germany ,Gender:, ,Age:,31  years,,,,
,Name:,Vincenzo,Family name:,Nibali,Nationality:,Italy ,Gender:, ,Age:,34  years,,,,
,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,,,,
,Name:,Rafal,Family name:,Majka,Nationality:,Poland ,Gender:, ,Age:,29  years,,,,
,Name:,Thibaut,Family name:,Pinot,Nationality:,France ,Gender:, ,Age:,29  years,,,,
,Name:,Marcel,Family name:,Kittel,Nationality:,Germany ,Gender:, ,Age:,31  years,,,,
,Name:,Jan,Family name:,Bakelants,Nationality:,Belgium ,Gender:, ,Age:,33  years,,,,
,Name:,Simon,Family name:,Gerrans,Nationality:,Australia ,Gender:, ,Age:,39  years,,,,
,Name:,Simon,Family name:,Gerrans,Nationality:,Australia ,Gender:, ,Age:,39  years,,,,
,Name:,Mark,Family name:,Cavendish,Nationality:,Great Britain ,Gender:, ,Age:,34  years,,,,
,Name:,André,Family name:,Greipel,Nationality:,Germany ,Gender:, ,Age:,37  years,,,,
,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,,,,
,Name:,Chris,Family name:,Froome,Nationality:,Great Britain ,,   GBR from 01-01-2008,   KEN from 20-05-1985 until 31-12-2007,Gender:, ,Age:,34  years,
,Name:,Dan,Family name:,Martin,Nationality:,Ireland ,,   GBR from 20-08-1986 until 31-12-2005,Gender:, ,Age:,33  years,,
,Name:,Marcel,Family name:,Kittel,Nationality:,Germany ,Gender:, ,Age:,31  years,,,,
,Name:,Tony,Family name:,Martin,Nationality:,Germany ,Gender:, ,Age:,34  years,,,,
,Name:,Marcel,Family name:,Kittel,Nationality:,Germany ,Gender:, ,Age:,31  years,,,,
,Name:,Mark,Family name:,Cavendish,Nationality:,Great Britain ,Gender:, ,Age:,34  years,,,,
,Name:,Matteo,Family name:,Trentin,Nationality:,Italy ,Gender:, ,Age:,30  years,,,,
,Name:,Chris,Family name:,Froome,Nationality:,Great Britain ,,   GBR from 01-01-2008,   KEN from 20-05-1985 until 31-12-2007,Gender:, ,Age:,34  years,
,Name:,Rui Alberto,Family name:,Faria da Costa,Nationality:,Portugal ,Gender:, ,Age:,32  years,,,,
,Name:,Chris,Family name:,Froome,Nationality:,Great Britain ,,   GBR from 01-01-2008,   KEN from 20-05-1985 until 31-12-2007,Gender:, ,Age:,34  years,
,Name:,Christophe,Family name:,Riblon,Nationality:,France ,Gender:, ,Age:,38  years,,,,
,Name:,Rui Alberto,Family name:,Faria da Costa,Nationality:,Portugal ,Gender:, ,Age:,32  years,,,,
,Name:,Nairo Alexander,Family name:,Quintana Rojas,Nationality:,Colombia ,Gender:, ,Age:,29  years,,,,
,Name:,Marcel,Family name:,Kittel,Nationality:,Germany ,Gender:, ,Age:,31  years,,,,
,Name:,Chris,Family name:,Froome,Nationality:,Great Britain ,,   GBR from 01-01-2008,   KEN from 20-05-1985 until 31-12-2007,Gender:, ,Age:,34  years,
,Name:,Nairo Alexander,Family name:,Quintana Rojas,Nationality:,Colombia ,Gender:, ,Age:,29  years,,,,
,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,,,,
,Name:,Nairo Alexander,Family name:,Quintana Rojas,Nationality:,Colombia ,Gender:, ,Age:,29  years,,,,
,Name:,Fabian,Family name:,Cancellara,Nationality:,Switzerland ,Gender:, ,Age:,38  years,,,,
,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,,,,
,Name:,Mark,Family name:,Cavendish,Nationality:,Great Britain ,Gender:, ,Age:,34  years,,,,
,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,,,,
,Name:,André,Family name:,Greipel,Nationality:,Germany ,Gender:, ,Age:,37  years,,,,
,Name:,André,Family name:,Greipel,Nationality:,Germany ,Gender:, ,Age:,37  years,,,,
,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,,,,
,Name:,Chris,Family name:,Froome,Nationality:,Great Britain ,,   GBR from 01-01-2008,   KEN from 20-05-1985 until 31-12-2007,Gender:, ,Age:,34  years,
,Name:,Thibaut,Family name:,Pinot,Nationality:,France ,Gender:, ,Age:,29  years,,,,
,Name:,Bradley,Family name:,Wiggins,Nationality:,Great Britain ,Gender:, ,Age:,39  years,,,,
,Name:,Thomas,Family name:,Voeckler,Nationality:,France ,Gender:, ,Age:,40  years,,,,
,Name:,Pierre,Family name:,Rolland,Nationality:,France ,Gender:, ,Age:,32  years,,,,
,Name:,David,Family name:,Millar,Nationality:,Great Britain ,Gender:, ,Age:,42  years,,,,
,Name:,André,Family name:,Greipel,Nationality:,Germany ,Gender:, ,Age:,37  years,,,,
,Name:,Luis León,Family name:,Sánchez Gil,Nationality:,Spain ,Gender:, ,Age:,35  years,,,,
,Name:,Pierrick,Family name:,Fédrigo,Nationality:,France ,Gender:, ,Age:,40  years,,,,
,Name:,Thomas,Family name:,Voeckler,Nationality:,France ,Gender:, ,Age:,40  years,,,,
,Name:,Alejandro,Family name:,Valverde Belmonte,Nationality:,Spain ,Gender:, ,Age:,39  years,,,,
,Name:,Mark,Family name:,Cavendish,Nationality:,Great Britain ,Gender:, ,Age:,34  years,,,,
,Name:,Bradley,Family name:,Wiggins,Nationality:,Great Britain ,Gender:, ,Age:,39  years,,,,
,Name:,Mark,Family name:,Cavendish,Nationality:,Great Britain ,Gender:, ,Age:,34  years,,,,
,Name:,Bradley,Family name:,Wiggins,Nationality:,Great Britain ,Gender:, ,Age:,39  years,,,,
,Name:,Thomas,Family name:,Voeckler,Nationality:,France ,Gender:, ,Age:,40  years,,,,
,Name:,Peter,Family name:,Sagan,Nationality:,Slovakia ,Gender:, ,Age:,29  years,,,,
,Name:,Tejay,Family name:,Van Garderen,Nationality:,United States of America ,Gender:, ,Age:,31  years,,,,
,Name:,Philippe,Family name:,Gilbert,Nationality:,Belgium ,Gender:, ,Age:,37  years,,,,
,Name:,Tom,Family name:,Danielson,Nationality:,United States of America ,Gender:, ,Age:,41  years,,,,
,Name:,Tyler,Family name:,Farrar,Nationality:,United States of America ,Gender:, ,Age:,35  years,,,,
,Name:,Cadel,Family name:,Evans,Nationality:,Australia ,Gender:, ,Age:,42  years,,,,
,Name:,Mark,Family name:,Cavendish,Nationality:,Great Britain ,Gender:, ,Age:,34  years,,,,
,Name:,Edvald,Family name:,Boasson Hagen,Nationality:,Norway ,Gender:, ,Age:,32  years,,,,
,Name:,Mark,Family name:,Cavendish,Nationality:,Great Britain ,Gender:, ,Age:,34  years,,,,
,Name:,Rui Alberto,Family name:,Faria da Costa,Nationality:,Portugal ,Gender:, ,Age:,32  years,,,,
,Name:,Luis León,Family name:,Sánchez Gil,Nationality:,Spain ,Gender:, ,Age:,35  years,,,,
,Name:,André,Family name:,Greipel,Nationality:,Germany ,Gender:, ,Age:,37  years,,,,
