,Departure,Arrival
1280,"    Basel (Basel-Stadt), Switzerland ","Freiburg im Breisgau (Baden-Wurttemberg), Germany"
1281,"    Freiburg im Breisgau (Baden-Wurttemberg), Germany ","Mulhouse (Alsace), France"
1282,"    Mulhouse (Alsace), France ","Strasbourg (Alsace), France"
1283,"    Strasbourg (Alsace), France ","Nancy (Lorraine), France"
1284,"    Nancy (Lorraine), France ","Marche-en-Famenne (Luxembourg), Belgium"
1285,"    Dinant (Namur), Belgium ","Roubaix (Nord-Pas-de-Calais), France"
1286,"    Roubaix (Nord-Pas-de-Calais), France ","Amiens (Picardie), France"
1287,"    Amiens (Picardie), France ","Le Touquet (Nord-Pas-de-Calais), France"
1288,"    Rungis (Ile-de-France), France ","Nevers (Bourgogne), France"
1289,"    Nevers (Bourgogne), France ","Puy de Dôme (Auvergne), France"
1290,"    Clermont-Ferrand (Auvergne), France ","Saint-Etienne (Pays de la Loire), France"
1291,"    Saint-Étienne (Rhone-Alpes), France ","Grenoble (Rhone-Alpes), France"
1292,"    Grenoble (Rhone-Alpes), France ","Orcières (Provence-Alpes-Cote d'Azur), France"
1293,"    Orcières (Provence-Alpes-Cote d'Azur), France ","Marseille (Provence-Alpes-Cote d'Azur), France"
1294,"    Albi (Midi-Pyrenees), France ","Albi (Midi-Pyrenees), France"
1295,"    Revel (Midi-Pyrenees), France ","Luchon (Midi-Pyrenees), France"
1296,"    Luchon (Midi-Pyrenees), France ","Superbagnères (Midi-Pyrenees), France"
1297,"    Luchon (Midi-Pyrenees), France ","Gourette (Aquitaine), France"
1298,"    Gourette (Aquitaine), France ","Pau (Aquitaine), France"
1299,"    Mont-de-Marsan (Aquitaine), France ","Bordeaux (Aquitaine), France"
1300,"    Bordeaux (Aquitaine), France ","Poitiers (Poitou-Charentes), France"
1301,"    Blois (Centre), France ","Versailles (Ile-de-France), France"
1302,"    Versailles (Ile-de-France), France ","Paris (Ile-de-France), France"
1303,"    Mulhouse (Alsace), France ","Paris (Ile-de-France), France"
1304,"    Mulhouse (Alsace), France ","Paris (Ile-de-France), France"
1305,"    Mulhouse (Alsace), France ","Paris (Ile-de-France), France"
1306,"    Limoges (Limousin), France ","Limoges (Limousin), France"
1307,"    Limoges (Limousin), France ","La Rochelle (Poitou-Charentes), France"
1308,"    La Rochelle (Poitou-Charentes), France ","Angers (Pays de la Loire), France"
1309,"    Angers (Pays de la Loire), France ","Angers (Pays de la Loire), France"
1310,"    Angers (Pays de la Loire), France ","Rennes (Bretagne), France"
1311,"    Rennes (Bretagne), France ","Lisieux (Basse-Normandie), France"
1312,"    Lisieux (Basse-Normandie), France ","Rouen (Haute-Normandie), France"
1313,"    Rouen (Haute-Normandie), France ","Amiens (Picardie), France"
1314,"    Amiens (Picardie), France ","Valenciennes (Nord-Pas-de-Calais), France"
1315,"    Valenciennes (Nord-Pas-de-Calais), France ","Vorst (Brussels Hoofdstedelijk Gewest), Belgium"
1316,"    Vorst (Brussels Hoofdstedelijk Gewest), Belgium ","Vorst (Brussels Hoofdstedelijk Gewest), Belgium"
1317,"    Ciney (Namur), Belgium ","Felsberg (Hessen), Germany"
1318,"    Saarlouis (Saarland), Germany ","Mulhouse (Alsace), France"
1319,"    Belfort (Franche-Comte), France ","Divonne-les-Bains (Rhone-Alpes), France"
1320,"    Divonne-les-Bains (Rhone-Alpes), France ","Divonne-les-Bains (Rhone-Alpes), France"
1321,"    Divonne-les-Bains (Rhone-Alpes), France ","Thonon-les-Bains (Rhone-Alpes), France"
1322,"    Thonon-les-Bains (Rhone-Alpes), France ","Grenoble (Rhone-Alpes), France"
1323,"    Grenoble (Rhone-Alpes), France ","Gap (Provence-Alpes-Cote d'Azur), France"
1324,"    Gap (Provence-Alpes-Cote d'Azur), France ","Mont Ventoux (Provence-Alpes-Cote d'Azur), France"
1325,"    Carpentras (Provence-Alpes-Cote d'Azur), France ","Montpellier (Languedoc-Roussillon), France"
1326,"    Montpellier (Languedoc-Roussillon), France ","Toulouse (Midi-Pyrenees), France"
1327,"    Toulouse (Midi-Pyrenees), France ","Saint-Gaudens (Midi-Pyrenees), France"
1328,"    Saint-Gaudens (Midi-Pyrenees), France ","Col du Tourmalet (Midi-Pyrenees), France"
1329,"    Bagnères-de-Bigorre (Midi-Pyrenees), France ","Mourenx (Aquitaine), France"
1330,"    Mourenx (Aquitaine), France ","Bordeaux (Aquitaine), France"
1331,"    Bordeaux (Aquitaine), France ","Bordeaux (Aquitaine), France"
1332,"    Ruffec (Poitou-Charentes), France "," , France"
1333,"     , France ","Versailles (Ile-de-France), France"
1334,"    Versailles (Ile-de-France), France ","Paris (Ile-de-France), France"
1335,,"Paris (Ile-de-France), France"
1336,"    Limoges (Limousin), France ","Paris (Ile-de-France), France"
1337,"    Limoges (Limousin), France ","Paris (Ile-de-France), France"
1338,"    Roubaix (Nord-Pas-de-Calais), France ","Roubaix (Nord-Pas-de-Calais), France"
1339,"    Roubaix (Nord-Pas-de-Calais), France ","Sint-Pieters-Woluwe (Brabant), Belgium"
1340,"    Sint-Pieters-Woluwe (Brabant), Belgium ","Sint-Pieters-Woluwe (Brabant), Belgium"
1341,"    Sint-Pieters-Woluwe (Brabant), Belgium ","Maastricht (Limburg), The Netherlands"
1342,"    Maastricht (Limburg), The Netherlands ","Charleville-Mézières (Champagne-Ardenne), France"
1343,"    Charleville-Mézières (Champagne-Ardenne), France ","Nancy (Lorraine), France"
1344,"    Nancy (Lorraine), France ","Mulhouse (Alsace), France"
1345,"    Mulhouse (Alsace), France ","Ballon d'Alsace (Lorraine), France"
1346,"    Belfort (Franche-Comte), France ","Divonne-les-Bains (Rhone-Alpes), France"
1347,"    Divonne-les-Bains (Rhone-Alpes), France ","Divonne-les-Bains (Rhone-Alpes), France"
1348,"    Divonne-les-Bains (Rhone-Alpes), France ","Thonon-les-Bains (Rhone-Alpes), France"
1349,"    Thonon-les-Bains (Rhone-Alpes), France ","Chamonix (Rhone-Alpes), France"
1350,"    Chamonix (Rhone-Alpes), France ","Briançon (Provence-Alpes-Cote d'Azur), France"
1351,"    Briançon (Provence-Alpes-Cote d'Azur), France ","Digne (Provence-Alpes-Cote d'Azur), France"
1352,"    Digne (Provence-Alpes-Cote d'Azur), France ","Aubagne (Provence-Alpes-Cote d'Azur), France"
1353,"    Aubagne (Provence-Alpes-Cote d'Azur), France ","La Grande Motte (Languedoc-Roussillon), France"
1354,"    La Grande Motte (Languedoc-Roussillon), France ","Revel (Midi-Pyrenees), France"
1355,"    Revel (Midi-Pyrenees), France ","Revel (Midi-Pyrenees), France"
1356,"    Revel (Midi-Pyrenees), France ","Luchon (Midi-Pyrenees), France"
1357,"    Luchon (Midi-Pyrenees), France ","Mourenx (Aquitaine), France"
1358,"    Mourenx (Aquitaine), France ","Bordeaux (Aquitaine), France"
1359,"    Bordeaux (Aquitaine), France ","Brive-la-Gaillarde (Limousin), France"
1360,"    Brive-la-Gaillarde (Limousin), France ","Puy de Dôme (Auvergne), France"
1361,"    Clermont-Ferrand (Auvergne), France ","Montargis (Centre), France"
1362,"    Montargis (Centre), France ","Créteil (Ile-de-France), France"
1363,"    Créteil (Ile-de-France), France ","Paris (Ile-de-France), France"
1364,"    Roubaix (Nord-Pas-de-Calais), France ","Paris (Ile-de-France), France"
1365,"    Roubaix (Nord-Pas-de-Calais), France ","Paris (Ile-de-France), France"
1366,"    Roubaix (Nord-Pas-de-Calais), France ","Paris (Ile-de-France), France"
1367,"    Vittel (Lorraine), France ","Vittel (Lorraine), France"
1368,"    Vittel (Lorraine), France ","Esch-sur-Alzette (Luxembourg), Luxemburg"
1369,"    Arlon (Luxembourg), Belgium ","Vorst (Brussels Hoofdstedelijk Gewest), Belgium"
1370,"    Vorst (Brussels Hoofdstedelijk Gewest), Belgium ","Vorst (Brussels Hoofdstedelijk Gewest), Belgium"
1371,"    Vorst (Brussels Hoofdstedelijk Gewest), Belgium ","Roubaix (Nord-Pas-de-Calais), France"
1372,"    Roubaix (Nord-Pas-de-Calais), France ","Rouen (Haute-Normandie), France"
1373,"    Rouen (Haute-Normandie), France ","Bagnoles-de-l'Orne (Basse-Normandie), France"
1374,"    Bagnoles-de-l'Orne (Basse-Normandie), France ","Dinard (Bretagne), France"
1375,"    Dinard (Bretagne), France ","Lorient (Bretagne), France"
1376,"    Lorient (Bretagne), France ","Nantes (Pays de la Loire), France"
1377,"    Nantes (Pays de la Loire), France ","Royan (Poitou-Charentes), France"
1378,"    Royan (Poitou-Charentes), France ","Bordeaux (Aquitaine), France"
1379,"    Bordeaux (Aquitaine), France ","Bayonne (Aquitaine), France"
1380,"    Bayonne (Aquitaine), France ","Pau (Aquitaine), France"
1381,"    Pau (Aquitaine), France ","Saint-Gaudens (Midi-Pyrenees), France"
1382,"    Saint-Gaudens (Midi-Pyrenees), France ","Seo de Urgel (Cataluña), Spain"
1383,"    Seo de Urgel (Cataluña), Spain ","Perpignan (Languedoc-Roussillon), France"
1384,"    Font Romeu Ermitage (Languedoc-Roussillon), France ","Albi (Midi-Pyrenees), France"
1385,"    Albi (Midi-Pyrenees), France ","Aurillac (Auvergne), France"
1386,"    Aurillac (Auvergne), France ","Saint-Etienne (Pays de la Loire), France"
1387,"    Saint-Etienne (Pays de la Loire), France ","Grenoble (Rhone-Alpes), France"
1388,"    Grenoble (Rhone-Alpes), France ","Sallanches (Rhone-Alpes), France"
1389,"    Sallanches (Rhone-Alpes), France ","Besançon (Franche-Comte), France"
1390,"    Besançon (Franche-Comte), France ","Auxerre (Bourgogne), France"
1391,"    Auxerre (Bourgogne), France ","Melun (Ile-de-France), France"
1392,"    Melun (Ile-de-France), France ","Paris (Ile-de-France), France"
1393,"    Vittel (Lorraine), France ","Paris (Ile-de-France), France"
1394,"    Vittel (Lorraine), France ","Paris (Ile-de-France), France"
1395,"    Vittel (Lorraine), France ","Paris (Ile-de-France), France"
1396,"    Angers (Pays de la Loire), France ","Angers (Pays de la Loire), France"
1397,"    Angers (Pays de la Loire), France ","Saint-Malo (Bretagne), France"
1398,"    Saint-Malo (Bretagne), France ","Caen (Basse-Normandie), France"
1399,"    Caen (Basse-Normandie), France ","Amiens (Picardie), France"
1400,"    Amiens (Picardie), France ","Roubaix (Nord-Pas-de-Calais), France"
1401,"    Roubaix (Nord-Pas-de-Calais), France ","Jambes (Namur), Belgium"
1402,"    Jambes (Namur), Belgium ","Jambes (Namur), Belgium"
1403,"    Jambles (Bourgogne), France ","Metz (Lorraine), France"
1404,"    Metz (Lorraine), France ","Strasbourg (Alsace), France"
1405,"    Strasbourg (Alsace), France ","Belfort (Franche-Comte), France"
1406,"    Belfort (Franche-Comte), France ","Divonne (Rhone-Alpes), France"
1407,"    Divonne (Rhone-Alpes), France ","Briançon (Provence-Alpes-Cote d'Azur), France"
1408,"    Briançon (Provence-Alpes-Cote d'Azur), France ","Digne (Provence-Alpes-Cote d'Azur), France"
1409,"    Digne (Provence-Alpes-Cote d'Azur), France ","Marseille (Provence-Alpes-Cote d'Azur), France"
1410,"    Marseille (Provence-Alpes-Cote d'Azur), France ","Carpentras (Provence-Alpes-Cote d'Azur), France"
1411,"    Carpentras (Provence-Alpes-Cote d'Azur), France ","Sète (Languedoc-Roussillon), France"
1412,"    Sète (Languedoc-Roussillon), France ","Toulouse (Midi-Pyrenees), France"
1413,"    Toulouse (Midi-Pyrenees), France ","Luchon (Midi-Pyrenees), France"
1414,"    Luchon (Midi-Pyrenees), France ","Pau (Aquitaine), France"
1415,"    Pau (Aquitaine), France ","Bordeaux (Aquitaine), France"
1416,"    Bordeaux (Aquitaine), France ","Limoges (Limousin), France"
1417,"    Limoges (Limousin), France ","Clermont-Ferrand (Auvergne), France"
1418,"    Clermont (Picardie), France ","Fontainebleau (Ile-de-France), France"
1419,"    Fontainebleau (Ile-de-France), France ","Versailles (Ile-de-France), France"
1420,"    Versailles (Ile-de-France), France ","Paris (Ile-de-France), France"
1421,"    Angers (Pays de la Loire), France ","Paris (Ile-de-France), France"
1422,"    Angers (Pays de la Loire), France ","Paris (Ile-de-France), France"
1423,"    Angers (Pays de la Loire), France ","Paris (Ile-de-France), France"
1424,"    Nancy (Lorraine), France ","Charleville (Champagne-Ardenne), France"
1425,"    Charleville (Champagne-Ardenne), France ","Doornik (Hainaut), Belgium"
1426,"    Doornik (Hainaut), Belgium ","Doornik (Hainaut), Belgium"
1427,"    Doornik (Hainaut), Belgium ","Dunkerque (Nord-Pas-de-Calais), France"
1428,"    Dunkerque (Nord-Pas-de-Calais), France ","Dieppe (Haute-Normandie), France"
1429,"    Dieppe (Haute-Normandie), France ","Caen (Basse-Normandie), France"
1430,"    Caen (Basse-Normandie), France ","Angers (Pays de la Loire), France"
1431,"    Angers (Pays de la Loire), France ","Royan (Poitou-Charentes), France"
1432,"    Royan (Poitou-Charentes), France ","Bordeaux (Aquitaine), France"
1433,"    Bordeaux (Aquitaine), France ","Bayonne (Aquitaine), France"
1434,"    Bayonne (Aquitaine), France ","Pau (Aquitaine), France"
1435,"    Pau (Aquitaine), France ","Luchon (Midi-Pyrenees), France"
1436,"    Luchon (Midi-Pyrenees), France ","Revel (Midi-Pyrenees), France"
1437,"    Revel (Midi-Pyrenees), France ","Sète (Languedoc-Roussillon), France"
1438,"    Montpellier (Languedoc-Roussillon), France ","Aubenas (Rhone-Alpes), France"
1439,"    Vals-les-Bains (Rhone-Alpes), France ","Vals-les-Bains (Rhone-Alpes), France"
1440,"    Privas (Rhone-Alpes), France ","Le Bourg-d'Oisans (Rhone-Alpes), France"
1441,"    Le Bourg-d'Oisans (Rhone-Alpes), France ","Briançon (Provence-Alpes-Cote d'Azur), France"
1442,"    Briançon (Provence-Alpes-Cote d'Azur), France ","Torino (Piemonte), Italy"
1443,"    Ivrea (Piemonte), Italy ","Chamonix (Rhone-Alpes), France"
1444,"    Chamonix (Rhone-Alpes), France ","Saint-Etienne (Pays de la Loire), France"
1445,"    Saint-Étienne (Rhone-Alpes), France ","Montluçon (Auvergne), France"
1446,"    Montluçon (Auvergne), France ","Orléans (Centre), France"
1447,"    Orléans (Centre), France ","Rambouillet (Ile de France), France"
1448,"    Rambouillet (Ile de France), France ","Paris (Ile-de-France), France"
1449,"    Nancy (Lorraine), France ","Paris (Ile-de-France), France"
1450,"    Nancy (Lorraine), France ","Paris (Ile-de-France), France"
1451,"    Nancy (Lorraine), France ","Paris (Ile-de-France), France"
1452,"    Köln (Nordrhein-Westfalen), Germany ","Liège (Liege), Belgium"
1453,"    Liège (Liege), Belgium ","Liège (Liege), Belgium"
1454,"    Liège (Liege), Belgium ","Roubaix (Nord-Pas-de-Calais), France"
1455,"    Roubaix (Nord-Pas-de-Calais), France ","Rouen (Haute-Normandie), France"
1456,"    Caen (Basse-Normandie), France ","Saint-Brieuc (Bretagne), France"
1457,"    Saint-Brieuc (Bretagne), France ","Châteaulin (Bretagne), France"
1458,"    Châteaulin (Bretagne), France ","Châteaulin (Bretagne), France"
1459,"    Quimper (Bretagne), France ","Pornichet (Pays de la Loire), France"
1460,"    Pornichet (Pays de la Loire), France ","La Rochelle (Poitou-Charentes), France"
1461,"    La Rochelle (Poitou-Charentes), France ","Bordeaux (Aquitaine), France"
1462,"    Dax (Aquitaine), France ","Bagnères-de-Bigorre (Midi-Pyrenees), France"
1463,"    Bagnères-de-Bigorre (Midi-Pyrenees), France ","Ax-les-Thermes (Midi-Pyrenees), France"
1464,"    Ax-les-Thermes (Midi-Pyrenees), France ","Barcelona (Cataluña), Spain"
1465,"    Barcelona (Cataluña), Spain ","Perpignan (Languedoc-Roussillon), France"
1466,"    Perpignan (Languedoc-Roussillon), France ","Montpellier (Languedoc-Roussillon), France"
1467,"    Montpellier (Languedoc-Roussillon), France ","Mont Ventoux (Provence-Alpes-Cote d'Azur), France"
1468,"    Carpentras (Provence-Alpes-Cote d'Azur), France ","Gap (Provence-Alpes-Cote d'Azur), France"
1469,"    Gap (Provence-Alpes-Cote d'Azur), France ","Briançon (Provence-Alpes-Cote d'Azur), France"
1470,"    Briançon (Provence-Alpes-Cote d'Azur), France ","Aix-les-Bains (Rhone-Alpes), France"
1471,"    Aix-les-Bains (Rhone-Alpes), France ","Aix-les-Bains (Rhone-Alpes), France"
1472,"    Aix-les-Bains (Rhone-Alpes), France ","Lyon (Rhone-Alpes), France"
1473,"    Lyon (Rhone-Alpes), France ","Auxerre (Bourgogne), France"
1474,"    Auxerre (Bourgogne), France ","Versailles (Ile-de-France), France"
1475,"    Versailles (Ile-de-France), France ","Paris (Ile-de-France), France"
1476,"    Köln (Nordrhein-Westfalen), Germany ","Paris (Ile-de-France), France"
1477,,"Paris (Ile-de-France), France"
1478,,"Paris (Ile-de-France), France"
1479,"    Rennes (Bretagne), France ","Lisieux (Basse-Normandie), France"
1480,"    Lisieux (Basse-Normandie), France ","Amiens (Picardie), France"
1481,"    Amiens (Picardie), France ","Vorst (Brussels Hoofdstedelijk Gewest), Belgium"
1482,"    Vorst (Brussels Hoofdstedelijk Gewest), Belgium ","Vorst (Brussels Hoofdstedelijk Gewest), Belgium"
1483,"    Vorst (Brussels Hoofdstedelijk Gewest), Belgium ","Metz (Lorraine), France"
1484,"    Lunéville (Lorraine), France ","Freiburg im Breisgau (Baden-Wurttemberg), Germany"
1485,"    Freiburg im Breisgau (Baden-Wurttemberg), Germany ","Besançon (Franche-Comte), France"
1486,"    Besançon (Franche-Comte), France ","Thonon-les-Bains (Rhone-Alpes), France"
1487,"    Thonon-les-Bains (Rhone-Alpes), France ","Briançon (Provence-Alpes-Cote d'Azur), France"
1488,"    Briançon (Provence-Alpes-Cote d'Azur), France ","Monaco , Monaco"
1489,"    Monaco , Monaco ","Hyères (Provence-Alpes-Cote d'Azur), France"
1490,"    Hyères (Provence-Alpes-Cote d'Azur), France ","Toulon (Champagne-Ardenne), France"
1491,"    Toulon (Champagne-Ardenne), France ","Montpellier (Languedoc-Roussillon), France"
1492,"    Montpellier (Languedoc-Roussillon), France ","Perpignan (Languedoc-Roussillon), France"
1493,"    Perpignan (Languedoc-Roussillon), France ","Andorra (Andorra la Vella), Andorra"
1494,"    Andorra (Andorra la Vella), Andorra ","Toulouse (Midi-Pyrenees), France"
1495,"    Toulouse (Midi-Pyrenees), France ","Luchon (Midi-Pyrenees), France"
1496,"    Luchon (Midi-Pyrenees), France ","Pau (Aquitaine), France"
1497,"    Peyrehorade (Aquitaine), France ","Bayonne (Aquitaine), France"
1498,"    Bayonne (Aquitaine), France ","Bordeaux (Aquitaine), France"
1499,"    Bordeaux (Aquitaine), France ","Brive-la-Gaillarde (Limousin), France"
1500,"    Brive-la-Gaillarde (Limousin), France ","Clermont-Ferrand (Auvergne), France"
1501,"    Clermont-Ferrand (Auvergne), France ","Orléans (Centre), France"
1502,"    Orléans (Centre), France ","Versailles (Ile-de-France), France"
1503,"    Versailles (Ile-de-France), France ","Paris (Ile-de-France), France"
1504,,"Paris (Ile-de-France), France"
1505,,"Paris (Ile-de-France), France"
1506,,"Paris (Ile-de-France), France"
1507,"    Paris (Ile-de-France), France ","Epernay (Rhone-Alpes), France"
1508,"    Reims (Champagne-Ardenne), France ","Jambes (Namur), Belgium"
1509,"    Jambes (Namur), Belgium ","Jambes (Namur), Belgium"
1510,"    Jambes (Namur), Belgium ","Roubaix (Nord-Pas-de-Calais), France"
1511,"    Roubaix (Nord-Pas-de-Calais), France ","Rouen (Haute-Normandie), France"
1512,"    Rouen (Haute-Normandie), France ","Rennes (Bretagne), France"
1513,"    Rennes (Bretagne), France ","Angers (Pays de la Loire), France"
1514,"    Angers (Pays de la Loire), France ","Angers (Pays de la Loire), France"
1515,"    Angers (Pays de la Loire), France ","Limoges (Limousin), France"
1516,"    Limoges (Limousin), France ","Bordeaux (Aquitaine), France"
1517,"    Bordeaux (Aquitaine), France ","Pau (Aquitaine), France"
1518,"    Pau (Aquitaine), France ","Bagnères-de-Bigorre (Midi-Pyrenees), France"
1519,"    Bagnères-de-Bigorre (Midi-Pyrenees), France ","Luchon (Midi-Pyrenees), France"
1520,"    Luchon (Midi-Pyrenees), France ","Toulouse (Midi-Pyrenees), France"
1521,"    Toulouse (Midi-Pyrenees), France ","Aurillac (Auvergne), France"
1522,"    Aurillac (Auvergne), France ","Saint-Etienne (Pays de la Loire), France"
1523,"    Saint-Étienne (Rhone-Alpes), France ","Grenoble (Rhone-Alpes), France"
1524,"    Grenoble (Rhone-Alpes), France ","Val-d'Isere (Rhone-Alpes), France"
1525,"    Val-d'Isere (Rhone-Alpes), France ","Chamonix (Rhone-Alpes), France"
1526,"    Chamonix (Rhone-Alpes), France ","Lons-le-Saunier (Franche-Comte), France"
1527,"    Arbois (Franche-Comte), France ","Besançon (Franche-Comte), France"
1528,"    Besançon (Franche-Comte), France ","Troyes (Champagne-Ardenne), France"
1529,"    Troyes (Champagne-Ardenne), France ","Paris (Ile-de-France), France"
1530,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France"
1531,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France"
1532,"    Paris (Ile-de-France), France ","Paris (Ile-de-France), France"
1533,"    Nancy (Lorraine), France ","Spa (Liege), Belgium"
1534,"    Spa (Liege), Belgium ","Herentals (Antwerpen), Belgium"
1535,"    Herentals (Antwerpen), Belgium ","Herentals (Antwerpen), Belgium"
1536,"    Brussel/Bruxelles (Brussels Hoofdstedelijk Gewest), Belgium ","Amiens (Picardie), France"
1537,"    Amiens (Picardie), France ","Le Havre (Haute-Normandie), France"
1538,"    Pont-l'Eveque (Basse-Normandie), France ","Saint Malo (Bourgogne), France"
1539,"    Dinard (Bretagne), France ","Brest (Bretagne), France"
1540,"    Quimper (Bretagne), France ","Saint-Nazaire (Pays de la Loire), France"
1541,"    Saint-Nazaire (Pays de la Loire), France ","Luçon (Pays de la Loire), France"
1542,"    Luçon (Pays de la Loire), France ","La Rochelle (Poitou-Charentes), France"
1543,"    La Rochelle (Poitou-Charentes), France ","Bordeaux (Aquitaine), France"
1544,"    Bordeaux (Aquitaine), France ","Bayonne (Aquitaine), France"
1545,"    Bayonne (Aquitaine), France ","Pau (Aquitaine), France"
1546,"    Pau (Aquitaine), France ","Saint-Gaudens (Midi-Pyrenees), France"
1547,"    Luchon (Midi-Pyrenees), France ","Superbagnères (Midi-Pyrenees), France"
1548,"    Luchon (Midi-Pyrenees), France ","Carcassonne (Languedoc-Roussillon), France"
1549,"    Carcassonne (Languedoc-Roussillon), France ","Montpellier (Languedoc-Roussillon), France"
1550,"    Montpellier (Languedoc-Roussillon), France ","Aix-en-Provence (Provence-Alpes-Cote d'Azur), France"
1551,"    Aix-en-Provence (Provence-Alpes-Cote d'Azur), France ","Juan-les-Pins (Provence-Alpes-Cote d'Azur), France"
1552,"    Juan-les-Pins (Provence-Alpes-Cote d'Azur), France ","Briançon (Provence-Alpes-Cote d'Azur), France"
1553,"    Briançon (Provence-Alpes-Cote d'Azur), France ","Aix-les-Bains (Rhone-Alpes), France"
1554,"    Bourgoin (Rhone-Alpes), France ","Lyon (Rhone-Alpes), France"
1555,"    Lyon (Rhone-Alpes), France ","Nevers (Bourgogne), France"
1556,"    Nevers (Bourgogne), France ","Paris (Ile-de-France), France"
1557,"    Nancy (Lorraine), France ","Paris (Ile-de-France), France"
1558,"    Nancy (Lorraine), France ","Paris (Ile-de-France), France"
1559,"    Nancy (Lorraine), France ","Paris (Ile-de-France), France"
1560,"    Rouen (Haute-Normandie), France ","Versailles (Ile-de-France), France"
1561,"    Versailles (Ile-de-France), France ","Versailles (Ile-de-France), France"
1562,"    Pontoise (Ile-de-France), France ","Roubaix (Nord-Pas-de-Calais), France"
1563,"    Roubaix (Nord-Pas-de-Calais), France ","Charleroi (Hainaut), Belgium"
1564,"    Charleroi (Hainaut), Belgium ","Metz (Lorraine), France"
1565,"    Metz (Lorraine), France ","Strasbourg (Alsace), France"
1566,"    Strasbourg (Alsace), France ","Belfort (Franche-Comte), France"
1567,"    Belfort (Franche-Comte), France ","Chalon-sur-Saône (Bourgogne), France"
1568,"    Chalon-sur-Saône (Bourgogne), France ","Saint-Étienne (Rhone-Alpes), France"
1569,"    Saint-Étienne (Rhone-Alpes), France ","Grenoble (Rhone-Alpes), France"
1570,"    Grenoble (Rhone-Alpes), France ","Torino (Piemonte), Italy"
1571,"    Torino (Piemonte), Italy ","Juan-les-Pins (Provence-Alpes-Cote d'Azur), France"
1572,"    Juan-les-Pins (Provence-Alpes-Cote d'Azur), France ","Aix-en-Provence (Provence-Alpes-Cote d'Azur), France"
1573,"    Aix-en-Provence (Provence-Alpes-Cote d'Azur), France ","Montpellier (Languedoc-Roussillon), France"
1574,"    Montpellier (Languedoc-Roussillon), France ","Perpignan (Languedoc-Roussillon), France"
1575,"    Perpignan (Languedoc-Roussillon), France ","Toulouse (Midi-Pyrenees), France"
1576,"    Toulouse (Midi-Pyrenees), France ","Luchon (Midi-Pyrenees), France"
1577,"    Luchon (Midi-Pyrenees), France ","Pau (Aquitaine), France"
1578,"    Pau (Aquitaine), France ","Bordeaux (Aquitaine), France"
1579,"    Bergerac (Aquitaine), France ","Périgueux (Aquitaine), France"
1580,"    Périgueux (Aquitaine), France "," , France"
1581,"     , France ","Paris (Ile-de-France), France"
1582,"    Rouen (Haute-Normandie), France ","Paris (Ile-de-France), France"
1583,"    Rouen (Haute-Normandie), France ","Paris (Ile-de-France), France"
1584,"    Rouen (Haute-Normandie), France ","Paris (Ile-de-France), France"
1585,"    Lille (Nord-Pas-de-Calais), France ","Brussel/Bruxelles (Brussels Hoofdstedelijk Gewest), Belgium"
1586,"    Brussel/Bruxelles (Brussels Hoofdstedelijk Gewest), Belgium ","Brussel/Bruxelles (Brussels Hoofdstedelijk Gewest), Belgium"
1587,"    Brussel/Bruxelles (Brussels Hoofdstedelijk Gewest), Belgium ","Malo-les-Bains (Nord-Pas-de-Calais), France"
1588,"    Malo-les-Bains (Nord-Pas-de-Calais), France ","Caen (Basse-Normandie), France"
1589,"    Dieppe (Haute-Normandie), France ","Caen (Basse-Normandie), France"
1590,"    Caen (Basse-Normandie), France ","Saint-Malo (Bretagne), France"
1591,"    Saint-Malo (Bretagne), France ","Lorient (Bretagne), France"
1592,"    Lorient (Bretagne), France ","Angers (Pays de la Loire), France"
1593,"    Angers (Pays de la Loire), France ","Limoges (Limousin), France"
1594,"    Limoges (Limousin), France ","Bordeaux (Aquitaine), France"
1595,"    Mont-de-Marsan (Aquitaine), France ","Pau (Aquitaine), France"
1596,"    Pau (Aquitaine), France ","Luchon (Midi-Pyrenees), France"
1597,"    Luchon (Midi-Pyrenees), France ","Toulouse (Midi-Pyrenees), France"
1598,"    Toulouse (Midi-Pyrenees), France ","Millau (Midi-Pyrenees), France"
1599,"    Millau (Midi-Pyrenees), France ","Avignon (Provence-Alpes-Cote d'Azur), France"
1600,"    Avignon (Provence-Alpes-Cote d'Azur), France ","Gap (Provence-Alpes-Cote d'Azur), France"
1601,"    Gap (Provence-Alpes-Cote d'Azur), France ","Briançon (Provence-Alpes-Cote d'Azur), France"
1602,"    Briançon (Provence-Alpes-Cote d'Azur), France ","Aix-les-Bains (Rhone-Alpes), France"
1603,"    Aix-les-Bains (Rhone-Alpes), France ","Thonon-les-Bains (Rhone-Alpes), France"
1604,"    Pontarlier (Franche-Comte), France ","Besançon (Franche-Comte), France"
1605,"    Besançon (Franche-Comte), France ","Troyes (Champagne-Ardenne), France"
1606,"    Troyes (Champagne-Ardenne), France ","Paris (Ile-de-France), France"
1607,"    Lille (Nord-Pas-de-Calais), France ","Paris (Ile-de-France), France"
1608,"    Lille (Nord-Pas-de-Calais), France ","Paris (Ile-de-France), France"
1609,"    Lille (Nord-Pas-de-Calais), France ","Paris (Ile-de-France), France"
1610,"    Mulhouse (Alsace), France ","Metz (Lorraine), France"
