,Departure,Arrival
330,"    Bordeaux (Aquitaine), France ","Dax (Aquitaine), France"
331,"    Cambo-les-Bains (Aquitaine), France ","Pau (Aquitaine), France"
332,"    Tarbes (Midi-Pyrenees), France ","Pla de Beret (Cataluña), Spain"
333,"    Luchon (Midi-Pyrenees), France ","Carcassonne (Languedoc-Roussillon), France"
334,"    Béziers (Languedoc-Roussillon), France ","Montélimar (Rhone-Alpes), France"
335,"    Montélimar (Rhone-Alpes), France ","Gap (Provence-Alpes-Cote d'Azur), France"
336,"    Gap (Provence-Alpes-Cote d'Azur), France ","L'Alpe-d'Huez (Rhone-Alpes), France"
337,"    Le Bourg-d'Oisans (Rhone-Alpes), France ","La Tousserie (Bretagne), France"
338,"    Saint-Jean-de-Maurienne (Rhone-Alpes), France ","Morzine (Rhone-Alpes), France"
339,"    Morzine (Rhone-Alpes), France ","Mâcon (Bourgogne), France"
340,"    Le Creusot (Bourgogne), France ","Montceau-les-Mines (Bourgogne), France"
341,"    Antony (Ile-de-France), France ","Paris (Ile-de-France), France"
342,,
343,,
344,,
345,,
346,"    Fromentine (Pays de la Loire), France ","Noirmoutier-en-l'Ile (Pays de la Loire), France"
347,"    Challans (Pays de la Loire), France ","Les Essarts (Pays de la Loire), France"
348,"    La Châtaigneraie (Pays de la Loire), France ","Tours (Centre), France"
349,"    Tours (Centre), France ","Blois (Centre), France"
350,"    Chambord (Centre), France ","Montargis (Centre), France"
351,"    Troyes (Champagne-Ardenne), France ","Nancy (Lorraine), France"
352,"    Lunéville (Lorraine), France ","Karlsruhe (Baden-Wurttemberg), Germany"
353,"    Pforzheim (Baden-Wurttemberg), Germany ","Gérardmer (Lorraine), France"
354,"    Gérardmer (Lorraine), France ","Mulhouse (Alsace), France"
355,"    Brignoud (Rhone-Alpes), France ","Courchevel (Rhone-Alpes), France"
356,"    Courchevel (Rhone-Alpes), France ","Briançon (Provence-Alpes-Cote d'Azur), France"
357,"    Briançon (Provence-Alpes-Cote d'Azur), France ","Digne (Provence-Alpes-Cote d'Azur), France"
358,"    Miramas (Provence-Alpes-Cote d'Azur), France ","Montpellier (Languedoc-Roussillon), France"
359,"    Agde (Languedoc-Roussillon), France ","Ax 3 Domaines (Midi-Pyrenees), France"
360,"    Lézat-sur-Lèze (Midi-Pyrenees), France ","Pla d'Adet (Midi-Pyrenees), France"
361,"    Mourenx (Aquitaine), France ","Pau (Aquitaine), France"
362,"    Pau (Aquitaine), France ","Revel (Midi-Pyrenees), France"
363,"    Albi (Midi-Pyrenees), France ","Mende (Languedoc-Roussillon), France"
364,"    Issoire (Auvergne), France ","Le Puy-en Velay (Auvergne), France"
