,Date
672,1993-07-25
673,1992-04-07
674,1992-05-07
675,1992-06-07
676,1992-07-07
677,1992-08-07
678,1992-09-07
679,1992-10-07
680,1992-11-07
681,1992-12-07
682,1992-07-13
683,1992-07-14
684,1992-07-15
685,1992-07-17
686,1992-07-18
687,1992-07-19
688,1992-07-20
689,1992-07-21
690,1992-07-22
691,1992-07-23
692,1992-07-24
693,1992-07-25
694,1992-07-26
695,1992-07-26
696,1992-07-26
697,1992-07-26
698,1992-07-26
699,1991-06-07
700,1991-07-07
701,1991-07-07
702,1991-08-07
703,1991-09-07
704,1991-10-07
705,1991-11-07
706,1991-12-07
707,1991-07-13
708,1991-07-14
709,1991-07-15
710,1991-07-16
711,1991-07-18
712,1991-07-19
713,1991-07-20
714,1991-07-21
715,1991-07-22
716,1991-07-23
717,1991-07-24
718,1991-07-25
719,1991-07-26
720,1991-07-27
721,1991-07-28
722,1991-07-28
723,1991-07-28
724,1991-07-28
725,1991-07-28
726,1990-06-30
727,1990-01-07
728,1990-01-07
729,1990-02-07
730,1990-03-07
731,1990-04-07
732,1990-06-07
733,1990-07-07
734,1990-08-07
735,1990-09-07
736,1990-10-07
737,1990-11-07
738,1990-12-07
739,1990-07-14
740,1990-07-15
741,1990-07-16
742,1990-07-17
743,1990-07-18
744,1990-07-19
745,1990-07-20
746,1990-07-21
747,1990-07-22
748,1990-07-22
749,1990-07-22
750,1990-07-22
751,1990-07-22
752,1989-01-07
753,1989-02-07
754,1989-03-07
755,1989-03-07
756,1989-04-07
757,1989-06-07
758,1989-07-07
759,1989-08-07
760,1989-09-07
761,1989-10-07
762,1989-11-07
763,1989-12-07
764,1989-07-13
765,1989-07-14
766,1989-07-15
767,1989-07-16
768,1989-07-18
769,1989-07-19
770,1989-07-20
771,1989-07-21
772,1989-07-22
773,1989-07-23
774,1989-07-23
775,1989-07-23
776,1989-07-23
777,1989-07-23
778,1989-07-23
779,1988-04-07
780,1988-04-07
781,1988-05-07
782,1988-06-07
783,1988-06-07
784,1988-07-07
785,1988-08-07
786,1988-09-07
787,1988-10-07
788,1988-11-07
789,1988-12-07
790,1988-07-13
791,1988-07-14
792,1988-07-15
793,1988-07-17
794,1988-07-18
795,1988-07-19
796,1988-07-19
797,1988-07-20
798,1988-07-21
799,1988-07-22
800,1988-07-23
801,1988-07-24
802,1988-07-24
803,1988-07-24
804,1988-07-24
805,1988-07-24
806,1987-01-07
807,1987-02-07
808,1987-02-07
809,1987-04-07
810,1987-05-07
811,1987-05-07
812,1987-06-07
813,1987-07-07
814,1987-08-07
815,1987-09-07
816,1987-10-07
817,1987-11-07
818,1987-12-07
819,1987-07-13
820,1987-07-14
821,1987-07-15
822,1987-07-16
823,1987-07-17
824,1987-07-19
825,1987-07-20
826,1987-07-21
827,1987-07-22
828,1987-07-23
829,1987-07-24
830,1987-07-25
831,1987-07-26
832,1987-07-26
833,1987-07-26
834,1987-07-26
835,1987-07-26
836,1986-04-07
837,1986-05-07
838,1986-05-07
839,1986-06-07
840,1986-07-07
841,1986-08-07
842,1986-09-07
843,1986-10-07
844,1986-10-07
845,1986-10-07
846,1986-11-07
847,1986-12-07
848,1986-07-15
849,1986-07-16
850,1986-07-17
851,1986-07-18
852,1986-07-19
853,1986-07-20
854,1986-07-21
855,1986-07-23
856,1986-07-24
857,1986-07-25
858,1986-07-26
859,1986-07-27
860,1986-07-27
861,1986-07-27
862,1986-07-27
863,1986-07-27
864,1985-06-28
865,1985-06-29
866,1985-06-30
867,1985-01-07
868,1985-02-07
869,1985-03-07
870,1985-04-07
871,1985-05-07
872,1985-06-07
873,1985-07-07
874,1985-08-07
875,1985-09-07
876,1985-10-07
877,1985-11-07
878,1985-07-13
879,1985-07-14
880,1985-07-15
881,1985-07-16
882,1985-07-17
883,1985-07-17
884,1985-07-18
885,1985-07-19
886,1985-07-20
887,1985-07-21
888,1985-07-21
889,1985-07-21
890,1985-07-21
891,1985-07-21
892,1985-07-21
893,1985-07-21
894,1985-07-21
895,1984-06-29
896,1984-06-30
897,1984-01-07
898,1984-02-07
899,1984-02-07
900,1984-03-07
901,1984-04-07
902,1984-05-07
903,1984-06-07
904,1984-07-07
905,1984-08-07
906,1984-09-07
907,1984-10-07
908,1984-11-07
909,1984-12-07
910,1984-07-13
911,1984-07-15
912,1984-07-16
913,1984-07-17
914,1984-07-18
915,1984-07-19
916,1984-07-21
917,1984-07-21
918,1984-07-22
919,1984-07-22
920,1984-07-22
921,1984-07-22
922,1984-07-22
923,1984-07-22
924,1983-01-07
925,1983-02-07
926,1983-03-07
927,1983-04-07
928,1983-05-07
929,1983-06-07
930,1983-07-07
931,1983-08-07
932,1983-09-07
933,1983-10-07
934,1983-11-07
935,1983-12-07
936,1983-07-13
937,1983-07-14
938,1983-07-15
939,1983-07-16
940,1983-07-17
941,1983-07-18
942,1983-07-20
943,1983-07-21
944,1983-07-22
945,1983-07-23
946,1983-07-24
947,1983-07-24
948,1983-07-24
949,1983-07-24
950,1983-07-24
951,1983-07-24
952,1982-02-07
953,1982-03-07
954,1982-04-07
955,1982-05-07
956,1982-06-07
957,1982-07-07
958,1982-07-07
959,1982-10-07
960,1982-11-07
961,1982-12-07
962,1982-12-07
963,1982-07-13
964,1982-07-14
965,1982-07-15
966,1982-07-16
967,1982-07-18
968,1982-07-19
969,1982-07-20
970,1982-07-21
971,1982-07-22
972,1982-07-23
973,1982-07-24
974,1982-07-25
975,1982-07-25
976,1982-07-25
977,1982-07-25
978,1982-07-25
979,1982-07-25
980,1982-07-25
981,1981-06-25
982,1981-06-26
983,1981-06-26
984,1981-06-27
985,1981-06-28
986,1981-06-29
987,1981-06-30
988,1981-01-07
989,1981-02-07
990,1981-03-07
991,1981-05-07
992,1981-06-07
993,1981-07-07
994,1981-08-07
995,1981-08-07
996,1981-09-07
997,1981-10-07
998,1981-11-07
999,1981-12-07
1000,1981-07-14
